date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:51	52511/52511	---M-Z	200	added ('OK')	text/html	etag:%22cd1f-586837a2a8d00-gzip%22	https://pro-theme.com/html/lesh/transaero/01_home.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/01_home.html	(from )
08:44:52	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%225eb2a4ed-1a%22	https://pro-theme.com/robots.txt		(from )
08:44:52	123/123	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225cb39fef-7b%22	https://pro-theme.com/html/lesh/transaero/img/favicon.ico	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/img/favicon.ico	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:53	1149/1149	---MCZ	200	added ('OK')	text/css	etag:W/%225cb39fe0-47d%22	https://pro-theme.com/html/lesh/transaero/css/master.css	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/css/master.css	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:53	951/951	---M--	200	added ('OK')	image/png	etag:%225cb39ff0-3b7%22	https://pro-theme.com/html/lesh/transaero/img/logo.png	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/img/logo.png	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:53	52118/52118	---M-Z	200	added ('OK')	text/html	etag:%22cb96-586837a39cf40-gzip%22	https://pro-theme.com/html/lesh/transaero/02_home.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/02_home.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:54	23848/23848	---M-Z	200	added ('OK')	text/html	etag:%225d28-586837a2a8d00-gzip%22	https://pro-theme.com/html/lesh/transaero/03_services.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/03_services.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:54	24733/24733	---M-Z	200	added ('OK')	text/html	etag:%22609d-586837a2a8d00-gzip%22	https://pro-theme.com/html/lesh/transaero/04_services.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/04_services.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:54	22826/22826	---M-Z	200	added ('OK')	text/html	etag:%22592a-586837a5853c0-gzip%22	https://pro-theme.com/html/lesh/transaero/05_service_detail.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/05_service_detail.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:55	29807/29807	---M-Z	200	added ('OK')	text/html	etag:%22746f-586837a39cf40-gzip%22	https://pro-theme.com/html/lesh/transaero/06_about.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/06_about.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:55	22586/22586	---M-Z	200	added ('OK')	text/html	etag:%22583a-586837a76d840-gzip%22	https://pro-theme.com/html/lesh/transaero/07_typography.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/07_typography.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
08:44:55	24331/24331	---M-Z	200	added ('OK')	text/html	etag:%225f0b-586837a1b4ac0-gzip%22	https://pro-theme.com/html/lesh/transaero/08_buttons.html	C:/My%20Web%20Sites/ssk%20logistics/pro-theme.com/html/lesh/transaero/08_buttons.html	(from https://pro-theme.com/html/lesh/transaero/01_home.html)
